einzelplan,einzelplan-text,jahr
01,Bundespräsident und Bundespräsidialamt,2019
02,Deutscher Bundestag,2019
03,Bundesrat,2019
04,Bundeskanzlerin und Bundeskanzleramt,2019
05,Auswärtiges Amt,2019
06,"Bundesministerium des Innern, für Bau und Heimat",2019
07,Bundesministerium der Justiz und für Verbraucherschutz,2019
08,Bundesministerium der Finanzen,2019
09,Bundesministerium für Wirtschaft und Energie,2019
10,Bundesministerium für Ernährung und Landwirtschaft,2019
11,Bundesministerium für Arbeit und Soziales,2019
12,Bundesministerium für Verkehr und digitale Infrastruktur,2019
14,Bundesministerium der Verteidigung,2019
15,Bundesministerium für Gesundheit,2019
16,"Bundesministerium für Umwelt, Naturschutz und nukleare Sicherheit",2019
17,"Bundesministerium für Familie, Senioren, Frauen und Jugend",2019
19,Bundesverfassungsgericht,2019
20,Bundesrechnungshof,2019
21,Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,2019
23,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,2019
30,Bundesministerium für Bildung und Forschung,2019
32,Bundesschuld,2019
60,Allgemeine Finanzverwaltung,2019
01,Bundespräsident und Bundespräsidialamt,2020
02,Deutscher Bundestag,2020
03,Bundesrat,2020
04,Bundeskanzlerin und Bundeskanzleramt,2020
05,Auswärtiges Amt,2020
06,"Bundesministerium des Innern, für Bau und Heimat",2020
07,Bundesministerium der Justiz und für Verbraucherschutz,2020
08,Bundesministerium der Finanzen,2020
09,Bundesministerium für Wirtschaft und Energie,2020
10,Bundesministerium für Ernährung und Landwirtschaft,2020
11,Bundesministerium für Arbeit und Soziales,2020
12,Bundesministerium für Verkehr und digitale Infrastruktur,2020
14,Bundesministerium der Verteidigung,2020
15,Bundesministerium für Gesundheit,2020
16,"Bundesministerium für Umwelt, Naturschutz und nukleare Sicherheit",2020
17,"Bundesministerium für Familie, Senioren, Frauen und Jugend",2020
19,Bundesverfassungsgericht,2020
20,Bundesrechnungshof,2020
21,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,2020
23,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,2020
30,Bundesministerium für Bildung und Forschung,2020
32,Bundesschuld,2020
