code,bezeichnung,ebene,hauptgruppe,obergruppe,gruppe
0,Einnahmen aus Steuern und steuerähnlichen Abgaben sowie EU- Eigenmittel,Hauptgruppe,0,,
01,Gemeinschaftsteuern und Gewerbesteuerumlage,Obergruppe,0,01,
011,Lohnsteuer,Gruppe,0,01,011
012,Veranlagte Einkommensteuer,Gruppe,0,01,012
013,Nicht veranlagte Steuern vom Ertrag (ohne Abgeltungsteuer auf Zins- und Veräußerungserträge),Gruppe,0,01,013
014,Körperschaftsteuer,Gruppe,0,01,014
015,Umsatzsteuer,Gruppe,0,01,015
016,Einfuhrumsatzsteuer,Gruppe,0,01,016
017,Gewerbesteuerumlage,Gruppe,0,01,017
018,Abgeltungsteuer auf Zins- und Veräußerungserträge,Gruppe,0,01,018
019,Gemeinschaftsteuern Mindeststeuer,Gruppe,0,01,019
02,EU- Eigenmittel (nur Bund),Obergruppe,0,02,
021,Mehrwertsteuer- Eigenmittel der EU,Gruppe,0,02,021
022,BNE- Eigenmittel der EU,Gruppe,0,02,022
023,Zölle,Gruppe,0,02,023
024,Abschöpfungen,Gruppe,0,02,024
03 / 04,Bundessteuern,Obergruppe,0,03 / 04,
031,Energiesteuer,Gruppe,0,03,031
032,Tabaksteuer,Gruppe,0,03,032
033,Alkoholsteuer,Gruppe,0,03,033
034,Schaumweinsteuer,Gruppe,0,03,034
035,Kaffeesteuer,Gruppe,0,03,035
036,Versicherungsteuer,Gruppe,0,03,036
037,Stromsteuer,Gruppe,0,03,037
038,Kraftfahrzeugsteuer,Gruppe,0,03,038
039,Luftverkehrsteuer,Gruppe,0,03,039
041,Kernbrennstoffsteuer,Gruppe,0,04,041
044,Solidaritätszuschlag,Gruppe,0,04,044
049,Sonstige Bundessteuern,Gruppe,0,04,049
05 / 06,Landessteuern,Obergruppe,0,05 / 06,
051,Vermögensteuer,Gruppe,0,05,051
052,Erbschaftsteuer,Gruppe,0,05,052
053,Grunderwerbsteuer,Gruppe,0,05,053
055,Totalisatorsteuer,Gruppe,0,05,055
056,Andere Rennwettsteuern,Gruppe,0,05,056
057,Lotteriesteuer,Gruppe,0,05,057
058,Andere Steuern nach dem Rennwett- und Lotteriegesetz,Gruppe,0,05,058
059,Feuerschutzsteuer,Gruppe,0,05,059
061,Biersteuer,Gruppe,0,06,061
069,Sonstige Landessteuern,Gruppe,0,06,069
07 / 08,Gemeindesteuern,Obergruppe,0,07 / 08,
071,Gemeindeanteil an der Lohnsteuer und der veranlagten Einkommensteuer,Gruppe,0,07,071
072,Grundsteuer A,Gruppe,0,07,072
073,Grundsteuer B,Gruppe,0,07,073
075,Gewerbesteuer,Gruppe,0,07,075
076,Gemeindeanteil an der Umsatzsteuer,Gruppe,0,07,076
077,"Gewerbesteuerumlage Gewerbesteuerumlage, die an den Bund und an die Länderebene des Stadtstaates gezahlt wird. Es erfolgt ein Nachweis mit negativem Vorzeichen.",Gruppe,0,07,077
078,Gemeindeanteil an der Abgeltungsteuer auf Zins- und Veräußerungserträge,Gruppe,0,07,078
079,Gewerbesteuer im länderangrenzenden Küstengewässer oder Festlandsockel (abzüglich Gewerbesteuerumlage),Gruppe,0,07,079
082,Vergnügungsteuern Spielvergnügungsteuer,Gruppe,0,08,082
083,Hundesteuer,Gruppe,0,08,083
089,Sonstige Gemeindesteuern (nur Stadtstaaten),Gruppe,0,08,089
09,Steuerähnliche Abgaben,Obergruppe,0,09,
092,Münzeinnahmen (nur Bund),Gruppe,0,09,092
093,Abgaben von Spielbanken,Gruppe,0,09,093
099,Sonstige steuerähnliche Abgaben,Gruppe,0,09,099
1,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",Hauptgruppe,1,,
11,Verwaltungseinnahmen,Obergruppe,1,11,
111,"Gebühren, sonstige Entgelte Gebühren und Auslagen aller Art, die in Gesetzen, Verordnungen, Gebührenordnungen, Satzungen usw. für Leistungen der Verwaltung und der Gerichte festgelegt sind, soweit nicht Gruppe 112 Tarifliche und gebührenartige Entgelte, die auf abgabenrechtlichen Vorschriften beruhen, einschl. Benutzungsgebühren und -entgelte für die Inanspruchnahme von Anstalten und Einrichtungen Beiträge im Sinne des Abgabenrechts, soweit nicht Gruppe 341 Ausgleichsabgabe nach dem Sozialgesetzbuch - Neuntes Buch - (SGB IX)",Gruppe,1,11,111
112,"Geldstrafen, Geldbußen und Zwangsgelder (einschl. der damit zusammenhängenden Gerichts- und Verwaltungskosten) Geldstrafen, Ordnungsstrafen, Disziplinarstrafen, Sühnegelder, Geldbußen, Verwarnungsgelder und Zwangsgelder einschl. damit zusammenhängender Prozesskosten usw.",Gruppe,1,11,112
119,"Sonstige Verwaltungseinnahmen Einnahmen aus Veröffentlichungen, Verkauf und Vertrieb amtlicher Drucksachen, Ausschreibungsunterlagen usw. Ersatzleistungen und andere Entschädigungen aus Versicherungsverträgen und von Privaten für Schäden Stundungs- und Verzugszinsen, Säumniszuschläge und Verspätungszuschläge (nur soweit die Buchung zusammen mit der Hauptforderung nicht möglich ist) Einnahmen aus Aufträgen Dritter Einnahmen aus Untersuchungen, Vorträgen, Gutachten, Beratungen und aus anderen Inanspruchnahmen der Verwaltung Zugunsten der Staatskasse eingezogene Vermögenswerte Einnahmen aus der Verwertung von Pfändern Einnahmen aus Fundsachen Einnahmen aus dem Verkauf von Altmaterial und Abfällen, soweit nicht aus wirtschaftlicher Tätigkeit (siehe Gruppe 125) Einnahmen aus dem Verfall von Kautionen Einnahmen aus Regressen Vertragsstrafen, soweit nicht bei der Hauptforderung Einnahmen aus Erbschaften, Anfall eines Vereinsvermögens (§ 46 BGB) und Stiftungsvermögens (§ 88 BGB) Haftungsentschädigungen Rückzahlungen aufgrund von Prüfungsbemerkungen des Rechnungshofes Rückzahlung überzahlter Beträge, Frachterstattungen Kostenbeiträge für private Benutzung amtlicher Fernsprechanschlüsse sowie verwaltungseigener Geräte, Fahrzeuge usw. Ablieferungen aus Nebenbeschäftigungen und von Tantiemen der Beschäftigten, Honorarabgaben Sonstige Verwaltungseinnahmen von geringerer Bedeutung, die nach ihrer Zweckbestimmung keiner anderen Gruppe zugeordnet werden können",Gruppe,1,11,119
12,Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen (ohne Zinsen),Obergruppe,1,12,
121,"Einnahmen aus Gewinnen von Unternehmen und Beteiligungen Ablieferungen eigener Unternehmen des Bundes und der Länder ohne Rücksicht auf die Rechtsform sowie aus Beteiligungen an Unternehmen, und zwar • Dividenden, Gewinnanteile, Gewinnbeteiligungen, Gewinn- und Überschussablieferungen Die Einnahmen im Haushaltsplan brutto veranschlagter Unternehmen sind nach ihrer Zweckbestimmung den entsprechenden Gruppen zuzuordnen.",Gruppe,1,12,121
122,"Konzessionsabgaben Vertragsmäßige Abgaben von Unternehmen für die Einräumung eines bevorzugten Nutzungsrechts am öffentlichen Eigentum, wie z. B. • Einnahmen aus der Erteilung einer Erlaubnis zum Aufsuchen und Gewinnen der Bodenschätze (z. B. Erdöl, Erdgas, Kalisalz, Eisenerz) • Einräumung der Wegenutzung Abgaben von Lotterieveranstaltern sowie Wettunternehmen",Gruppe,1,12,122
123,Einnahmen aus staatlichen Glücksspielen Gewinnablieferungen/Reinerträge aus den staatlichen Wetten und Lotterien,Gruppe,1,12,123
124,"Mieten und Pachten Einnahmen aus der Überlassung von Vermögensgegenständen zur Nutzung, wie z. B. Mieten, Pachten, Erbbauzinsen, Leasingraten und Einnahmen aus Lizenzen, soweit nicht Gruppe 126",Gruppe,1,12,124
125,"Einnahmen aus der Veräußerung von beweglichen Sachen und Diensten aus wirtschaftlicher Tätigkeit Einnahmen aus z. B. • Holzverkäufen und andere Einnahmen aus der Bewirtschaftung der Forsten • dem Verkauf von Erzeugnissen der Versuchsgüter, Versuchsfelder und anderer Einrichtungen sowie von Erzeugnissen der Werkstättenbetriebe/Arbeitsbetriebe • dem Verkauf von Jagd- und Fischereierzeugnissen • sonstigen Betriebszweigen (z. B. Einnahmen aus Vermessungsarbeiten, kartographischen Arbeiten, Verkauf von Karten, Katalogen) • der Bereitstellung von Unterkunft und Verpflegung • dem Verkauf von Material durch Bauhöfe und Materiallager an Dritte",Gruppe,1,12,125
